"March 4, 1909 – March 4, 1913",27,,William Howard Taft 1857–1930 (Lived: 72 years) [77][78][79],42nd United States Secretary of War (1904–1908),,Republican,(1908) 31 (1909),"James S. Sherman March 4, 1909 – October 30, 1912 (Died in office)"
"March 4, 1913 – March 4, 1921",28,,Woodrow Wilson 1856–1924 (Lived: 67 years) [80][81][82],34th Governor of New Jersey (1911–1913),,Democratic,(1912) 32 (1913),Thomas R. Marshall
"March 4, 1921 – August 2, 1923 (Died in office)",29,,Warren G. Harding 1865–1923 (Lived: 57 years) [83][84][85],U.S. Senator (Class 3) from Ohio (1915–1921),,Republican,(1920) 34 (1921) (1923) [j],Calvin Coolidge (Succeeded to presidency)
"August 2, 1923 [q] – March 4, 1929",30,,Calvin Coolidge 1872–1933 (Lived: 60 years) [86][87][88],29th Vice President of the United States,,Republican,"Office vacant August 2, 1923 – March 4, 1925",
"March 4, 1929 – March 4, 1933",31,,Herbert Hoover 1874–1964 (Lived: 90 years) [89][90][91],3rd United States Secretary of Commerce (1921–1928) (No prior elected office),,Republican,(1928) 36 (1929),Charles Curtis
"March 4, 1933 – April 12, 1945 (Died in office)",32,,Franklin D. Roosevelt 1882–1945 (Lived: 63 years) [92][93][94],44th Governor of New York (1929–1932),,Democratic,(1932) 37 (1933),"John N. Garner March 4, 1933 – January 20, 1941 [r]"
"April 12, 1945 – January 20, 1953",33,,Harry S. Truman 1884–1972 (Lived: 88 years) [95][96][97],34th Vice President of the United States,,Democratic,"Office vacant April 12, 1945 – January 20, 1949",
"January 20, 1953 – January 20, 1961",34,,Dwight D. Eisenhower 1890–1969 (Lived: 78 years) [98][99][100],Supreme Allied Commander Europe (1949–1952) (No prior elected office),,Republican,(1952) 42 (1953),Richard Nixon
"January 20, 1961 – November 22, 1963 (Died in office)",35,,John F. Kennedy 1917–1963 (Lived: 46 years) [101][102][103],U.S. Senator (Class 1) from Massachusetts (1953–1960),,Democratic,(1960) 44 (1961) (1963) [j],Lyndon B. Johnson (Succeeded to presidency)
"November 22, 1963 – January 20, 1969",36,,Lyndon B. Johnson 1908–1973 (Lived: 64 years) [104][105],37th Vice President of the United States,,Democratic,"Office vacant November 22, 1963 – January 20, 1965",
"January 20, 1969 – August 9, 1974 (Resigned from office)",37,,Richard Nixon 1913–1994 (Lived: 81 years) [106][107][108],36th Vice President of the United States (1953–1961),,Republican,(1968) 46 (1969),"Spiro Agnew January 20, 1969 – October 10, 1973 (Resigned from office)"
"August 9, 1974 – January 20, 1977",38,,Gerald Ford 1913–2006 (Lived: 93 years) [109][110][111],40th Vice President of the United States,,Republican,"Office vacant August 9 – December 19, 1974",
"January 20, 1977 – January 20, 1981",39,,Jimmy Carter Born 1924 (93 years old) [112][113][114],76th Governor of Georgia (1971–1975),,Democratic,(1976) 48 (1977),Walter Mondale
"January 20, 1981 – January 20, 1989",40,,Ronald Reagan 1911–2004 (Lived: 93 years) [115][116][117],33rd Governor of California (1967–1975),,Republican,(1980) 49 (1981),George H. W. Bush
"January 20, 1989 – January 20, 1993",41,,George H. W. Bush Born 1924 (93 years old) [118][119][120],43rd Vice President of the United States,,Republican,(1988) 51 (1989),Dan Quayle
"January 20, 1993 – January 20, 2001",42,,Bill Clinton Born 1946 (71 years old) [121][122][123],40th & 42nd Governor of Arkansas (1979–1981 & 1983–1992),,Democratic,(1992) 52 (1993),Al Gore
"January 20, 2001 – January 20, 2009",43,,George W. Bush Born 1946 (71 years old) [124][125],46th Governor of Texas (1995–2000),,Republican,(2000) 54 (2001),Dick Cheney
"January 20, 2009 – January 20, 2017",44,,Barack Obama Born 1961 (56 years old) [126][127],U.S. Senator (Class 3) from Illinois (2005–2008),,Democratic,(2008) 56 (2009),Joe Biden
"January 20, 2017 – Incumbent",45,,Donald Trump Born 1946 (71 years old) [128][129],Chairman of The Trump Organization (1971–2017) (No prior elected office),,Republican,(2016) 58 (2017),Mike Pence
